starting_cube	moves	result_cube
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	D2 L1	U:4 2;2 6, L:6 1;3 1, F:3 2;5 2, R:4 6;4 4, B:1 5;5 1, D:6 3;5 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	R U	U:5 1;6 2, L:4 5;4 4, F:1 4;5 3, R:6 5;1 6, B:3 6;2 2, D:3 2;3 1 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U2 B2	U:3 3;2 1, L:1 6;6 4, F:1 5;5 6, R:3 4;1 4, B:2 2;2 4, D:3 5;5 6 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	F D B1	U:2 3;4 6, L:3 3;4 2, F:5 4;4 5, R:5 1;6 2, B:5 1;1 6, D:3 1;2 6 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	R F1 D1	U:1 2;1 1, L:3 6;4 5, F:5 3;3 6, R:2 4;2 2, B:6 5;4 5, D:4 1;6 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	R1 U1 L	U:2 1;1 5, L:4 3;4 5, F:2 6;1 6, R:4 2;4 1, B:6 3;5 3, D:3 2;5 6 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	B D1 B1	U:5 2;5 6, L:3 6;3 6, F:4 2;1 3, R:4 6;2 1, B:1 4;2 1, D:5 4;5 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	B2 L F	U:1 3;6 1, L:6 4;4 5, F:5 3;6 2, R:2 4;6 3, B:2 2;5 3, D:1 4;5 1 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	D2 R1 D	U:1 5;5 1, L:3 6;3 6, F:4 2;1 1, R:6 4;2 6, B:3 5;4 4, D:5 3;2 2 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U1 F R1	U:2 2;4 4, L:1 3;4 5, F:5 6;6 5, R:2 1;1 5, B:3 6;4 2, D:1 3;3 6 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	R D1 B	U:4 2;5 6, L:2 6;1 3, F:4 5;1 6, R:1 3;2 3, B:4 6;4 5, D:2 1;3 5 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	F2 R F2	U:1 5;2 6, L:3 1;4 6, F:3 2;5 6, R:4 4;1 6, B:3 5;2 2, D:4 5;3 1 ()
